{bdg-dark-line}`group` Name(dimensions),Specified in,Data type,Required or optional,Model units,Description,Potential source
"`is_estuary(y, x)`",{bdg-primary}`data.nc` {bdg-success}`config.yaml`          ,ubyte,Required if config option `include_estuary = .true.`,\-,"Boolean variable dictating whether a grid cell's waterbodies are estuaries (instead of freshwaters). 0 represents false, 1 represents true. This parameter is only required if the config option `include_estuary` is `.true.`, otherwise the model assumes there are no estuaries","Could be deduced from land use maps, such as [CORINE Land Cover](https://land.copernicus.eu/en/products/corine-land-cover)"
{bdg-dark-line}`water` `river_meandering_factor`,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float,"Optional, defaults to calculation based on grid size",\-,"Meandering factor to account for rivers not being straight lines. If not present, meandering factor is estimated from the grid cell size, according to $f_m = 1.024 - 0.077 * \ln (200 / (dx + dy))$ {cite:p}`fekete_2001`.","Could be deduced from river network vectors, such as [OS Open Rivers](https://www.ordnancesurvey.co.uk/products/os-open-rivers)"
{bdg-dark-line}`water` `min_water_temperature`<br>`max_water_temperature`,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float,"Optional, defaults to 4<sup>o</sup>C (min) or 21<sup>o</sup>C (max)",<sup>o</sup>C,Average minimum or maximum water temperature across the year. Calculates daily water temperature timeseries using a cosine curve based on these values.,
{bdg-dark-line}`water` `min_water_temperature_day_of_year`,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,int,"Optional, defaults to 32",\-,"Day of the year on which the minimum water temperature usually occurs, as an integer. Defaults to 32, which represents the first day of February. Used along with min/max water temperature to calculate water temperature timeseries.",
{bdg-dark-line}`water` `shear_rate`,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float,"Optional, defaults to 10 /s",/s,"Shear rate at the water-sediment interface, used for calculating resuspension. Defaults to 10 /s {cite}`arvidsson_2011`.",
{bdg-dark-line}`water` `estuary_tidal_m2`,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float,Required if model domain has estuary,\-,The M2 component of the tidal harmonics.,Estuary authorities such as the Thames Port Authority
{bdg-dark-line}`water` `estuary_tidal_s2`,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float,Required if model domain has estuary,\-,The S2 component of the tidal harmonics.,Estuary authorities such as the Thames Port Authority
{bdg-dark-line}`water` `estuary_mouth_coords`,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float,Required if model domain has estuary,m,"Position of the estuary mouth as (x, y) coordinates. Used to calculute upstream estuary dimensions based on exponential regression dependent on distance to estuary mouth.",Estuary authorities such as the Thames Port Authority
{bdg-dark-line}`water` `estuary_mean_depth_expa`<br>`estuary_mean_depth_expb`<br>`estuary_width_expa`<br>`estuary_width_expb`,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float,Required if model domain has estuary,\-,"Parameters `a` and `b` controlling the dependence of the estuary mean depth or width on distance to the mouth. For example, parameters `estuary_width_expa` and `estuary_width_expb` are used to calculate the width of the estuary upstream by a distance of `d` by the relation `width = estuary_width_expa * exp(-estuary_width_expb * d)`.","Could be calibrated from vector map data showing width of rivers, or estuary monitoring data with depths"
{bdg-dark-line}`water` `estuary_meandering_factor`,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float,"Optional, defaults to calculation based on grid size",\-,"Meandering factor to account for estuaries not being straight lines. If not present, meandering factor is estimated from the grid cell size, according to $f_m = 1.024 - 0.077 * \ln (200 / (dx + dy))$ {cite:p}`fekete_2001`.","Could be deduced from land use maps, such as [CORINE Land Cover](https://land.copernicus.eu/en/products/corine-land-cover)"
